A 2010 redesign of this item removed the initials “VDB” from its front for the second time.|U.S. penny (or pennies; prompt on "coins" until “coin” is mentioned) |1.1.1/5
For ten points, name this Italian general, considered a father of the First Italian Republic.|Giuseppe Garibaldi (or Giuseppe Maria Garibaldi) |2.1.5.A.4/4
Which Italian statesman, who reluctantly negotiated the cessation of Savoy to France in the Treaty of Plombières, became the first prime minister of Italy?|Camillo Benso, Count of Cavour (accept either underlined answer; accept Camillo Paolo Filippo Giulio Benso, Count of Cavour, Isolabella and Leri) |2.1.0.B.1/1
The fanfare Buckaroo Holiday begins a ballet by this composer, whose choreographer, Agnes de Mille, later worked on the thematically sim ilar Oklahoma!|Aaron Copland [[KOHP-land]] |2.2.5.A.1/4
.|Aaron Copland [[KOHP-land]] |2.2.5.A.2/4
Martha Graham earned a Pulitzer Prize for her work with this composer for a piece which celebrates the American pioneer and includes a reworking of the Shaker hymn "Simple Gifts".|Aaron Copland [[KOHP-land]] |2.2.5.A.3/4
Rodeo, Fanfare for the Common Man , and Appalachian Spring  were written by, for ten points, which American composer?|Aaron Copland [[KOHP-land]] |2.2.5.A.4/4
Copland composed a work named for which outlaw who was gunned down by Pat Garrett in 1881?|Billy the Kid (accept William Bonney) |2.2.0.B.1/1
For years, scholars suspected that several frescoes in the Hall of the Five Hundred at the Palazzo Vecchio were painted over this man's historical work, The Battle of Anghiari .|Leonardo da Vinci (accept either underlined portion) |2.3.5.A.1/3
Under the patronage of Ludovico Sforza, this man developed a design for a "turtle -shell" fighting vehicle as well as a self -propelled cart and an automaton, though most of his work went unpublished due to being written in a secretive mirror script.|Leonardo da Vinci (accept either underlined portion) |2.3.5.A.2/3
For ten points, name this painter and inventor who is considered the consummate "Renaissance Man".|Leonardo da Vinci (accept either underlined portion) |2.3.5.A.3/3
Leonardo's Codex Atlanticus  contains a design for a "rapid -fire" example of this weapon, which was notably wielded by an internationally -recruited medieval mercenary force from Genoa.|Crossbow (accept Genoese Crossbowmen; do not accept "Bow and Arrow") |2.3.0.B.1/1
This acquisition was retroactively confirmed by the decision American Insurance Co. v. Canter.|Louisiana Purchase |2.4.5.A.1/4
Secretary of the Treasury Albert Gallatin informed the sitting president that this acquisition was protected by the treaty-making provision in the Constitution.|Louisiana Purchase |2.4.5.A.2/4
The costliness of the Haitian revolution led to this sale of territory by Napoleon to the United States.|Louisiana Purchase |2.4.5.A.3/4
The Jefferson administration facilitated, for ten points, what "Purchase" whi ch doubled the size of the United States?|Louisiana Purchase |2.4.5.A.4/4
The territory of the Louisiana Purchase was explored by which duo of officers who led the Corps of Discovery?|Lewis and Clark (or Merriweather Lewis and William Clark; accept in either order) |2.4.0.B.1/1
An invention produced by Andreas Flocken is often considered the first "true" one of these objects, which were also produced by Walter Bersey in London.|Electric Car (accept Electric vehicle; accept descriptive answers about cars running on a lithium-ion battery or cars running on electricity; prompt on "Car") |2.5.5.A.1/3
The development of MOSFET helped spark the modern commercial interest in these objects, whose first mass -produced example was the Roadster.|Electric Car (accept Electric vehicle; accept descriptive answers about cars running on a lithium-ion battery or cars running on electricity; prompt on "Car") |2.5.5.A.2/3
Initially eclipsed by the emergence of internal -combustion engine vehicles, for ten points, what are these vehicles run entirely without gasoline, including the popular Tesla Model 3?|Electric Car (accept Electric vehicle; accept descriptive answers about cars running on a lithium-ion battery or cars running on electricity; prompt on "Car") |2.5.5.A.3/3
The first six land-speed records were broken by electric vehicles, primarily in France, though for several decades the record was broken by gasoline-powered cars at what recently-deteriorated site in Utah?|Bonneville Salt Flats (accept Bonneville Speedway) |2.5.0.B.1/1
Successful commanders from this kingdom were often equated to the god Montu, a war deity who takes the shape of a bull.|Kingdom of Egypt (accept Aegypttos; accept Kemet) |2.6.5.A.1/4
This polity employed the Medjay, a distinct Cushitic speaking people who served as a paramilitary police force.|Kingdom of Egypt (accept Aegypttos; accept Kemet) |2.6.5.A.2/4
This kingdom created the  sickle shaped sword meant for close-combat known as the Khopesh, and its military mass-adopted the chariot after being invaded by the Hyksos [[HIK-sohs]].|Kingdom of Egypt (accept Aegypttos; accept Kemet) |2.6.5.A.3/4
For ten points, name this ancient African kingdom which fought at the Battles of Megiddo and the Nile Delta.|Kingdom of Egypt (accept Aegypttos; accept Kemet) |2.6.5.A.4/4
The invading Hyksos were likely from what Levantine region?|Canaan (accept Kenaʿn; accept Canaanites) |2.6.0.B.1/2
The Biblical Promised Land corresponds to this region, which included Philistia and Phoenicia.|Canaan (accept Kenaʿn; accept Canaanites) |2.6.0.B.2/2
A tyrant of this city named Dionysius the Elder arrested the philosopher Plato and sold him into slavery following a disagreement.|Syracuse (accept Syracusa; or Sarausa; or Syracusae) |2.7.5.A.1/4
A former general of Pyrrhus of Epirus, Hiero II, served as a tyrant of this city, becoming a clien t of Rome during the First Punic War.|Syracuse (accept Syracusa; or Sarausa; or Syracusae) |2.7.5.A.2/4
Archimedes allegedly used a parabolic reflector to defend this city from a Roman attack, inventing the first "heat ray".|Syracuse (accept Syracusa; or Sarausa; or Syracusae) |2.7.5.A.3/4
For ten points, name this ancient Greek colony in the southeast of Sicily.|Syracuse (accept Syracusa; or Sarausa; or Syracusae) |2.7.5.A.4/4
The first settlers to Syracuse were from which Greek city-state which shares its name with an isthmus that connects Attica and the Peloponnese?|Corinth (or Korinthos) |2.7.0.B.1/1
A subset of the "Great Railroad Strike of 1877" in this city included strikers trapping police officers on the Halsted Street bridge in the Battle of the Viaduct.|Chicago |2.8.5.A.1/4
During the "Red Summer," this city suffered a race riot on its South Side after African -American teen Eugene Williams was ki lled for swimming near an "All -White" beach.|Chicago |2.8.5.A.2/4
This city's Hyde Park neighborhood hosted the Columbian Exposition of 1893.|Chicago |2.8.5.A.3/4
Hull House was founded in, for ten points, which Midwestern city that suffered a "Great Fire" in the 1870s?|Chicago |2.8.5.A.4/4
Contributing to the violence of the Chicago Race Riot, the Hamburg Athletic Club, which included future mayor Richard J. Daley, was composed primarily of what white immigrant ethnic group that fiercely guarded neighborhoods like Bridgeport and Back of the Yards.|Irish-American|2.8.0.B.1/1
Largest city in Oregon whose founder named it for his home city in Maine. |Portland |3.1.1/1
Capital city possibly named for a site of witch trials in Massachusetts. |Salem |3.2.1/1
River on which the Grand Coulee Dam was built during the Great Depression. |Columbia River |3.3.1/1
Mountain whose disastrous 1980 eruption covered parts of Washington and Oregon in ash. |Mount Saint Helens |3.4.1/1
Explorer who was the first European to discover Hawaii and who later mapped parts of the Oregon coast. |James Cook |3.5.1/1
First American millionaire whose Pacific Fur Company founded a namesake settlement in Oregon. |John Jacob Astor (accept Astoria) |3.6.1/1
Indigenous people who practiced headbinding, now known for being the namesake of a U.S. Army transport helicopter. |Chinook (or Tsinuk; accept Boeing CH-47 Chinook) |3.7.1/1
1840s "incident" where a black man killed a Casco native over a horse, leading to passage of Oregon's anti-Black settlement laws. |Cockstock Incident The Iron Curtain Concerning the ideological division of Europe during the Cold War, name the... |3.8.1/1
Polish capital which names a "Pact" of Communist nations led by the Soviet Union. |Warsaw (accept Warsaw Pact) |3.9.1/1
British prime minister who coined the term "Iron Curtain" in a 1946 speech. |Winston Churchill (or Winston Leonard Spencer Churchill) |3.10.1/1
1949 Collective Security organization including most Western European nations and the United States. |North Atlantic Treaty Organization (accept NATO) |3.11.1/1
Conference in Crimea where the Allies agreed on how to split Europe. |Yalta Conference (accept Argonaut) |3.12.1/1
"Movement" advocated by the likes of Kwame Nkrumah and Josip Tito as an alternative to the Eastern and Western blocs. |Non-Aligned Movement (accept NAM) |3.13.1/1
Nation whose dictator Enver Hoxha [[HOH-shah]] re-aligned his state from the USSR to Communist China in the 1960s. |People's Socialist Republic of Albania (or Republika Popullore Socialiste e Shqipërisë) |3.14.1/1
East German prime minister whose forced resignation in 1989 paved the way for a unified Germany. |Erich Honecker (or Erich Ernst Paul Honecker) |3.15.1/1
"Doctrine" named for an American singer which Mikhail Gorbachev adopted, allowing neighbors to deal with their own internal affairs. |Sinatra Doctrine Apartheid In the apartheid era, who or what was the... |3.16.1/1
Country where Daniel Malan formalized apartheid in 1948? |Republic of South Africa (or RSA) |3.17.1/1
Longtime prisoner who negotiated an end to apartheid with F.W. de Klerk before becoming president? |Nelson Mandela (or Nelson Rolihlahla Mandela) |3.18.1/1
Decade in which apartheid was dismantled and multiracial elections first took place? |1990s |3.19.1/1
1960 incident in which police killed 69 anti-passbook protestors? |Sharpeville Massacre |3.20.1/1
Popular English sport played on the controversial "Springbok tour" in 1981? |Rugby (union) |3.21.1/1
Common name for the Black "homelands" granted sham independence starting in 1972? |Bantustans |3.22.1/1
Resort that named a 1985 pro-boycott song composed by Steven Van Zandt? |Sun City |3.23.1/1
Leader of the Black Consciousness Movement who died in police custody in 1977? |Steve Biko (or Bantu Stephen Biko) |3.24.1/1
In 1937, this organization became the na mesake of an orchestra conducted by Arturo Toscanini that transformed into the Symphony of the Air in 1954.|NBC (or National Broadcasting Company) |4.1.1/4
This organization hired Peter Adler to conduct a namesake Opera Theatre that premiered Amahl and (+) the Night Visitors  in 1951.|NBC (or National Broadcasting Company) |4.1.2/4
Doc Severinsen, Max  Weinberg, and Kevin Eubanks have led in-house bands on this company's late-night (*) shows.|NBC (or National Broadcasting Company) |4.1.3/4
For ten points, name this radio and TV network which trademarked the three -chime sequence that plays over its peacock logo.|NBC (or National Broadcasting Company) |4.1.4/4
A tableau by this artist depicts the historical Battle of Taillebourg [[TIE -bur]] during the Saintonge [[sahn-TAHNG]] War.|Eugène Delacroix (or Ferdinand Victor Eugène Delacroix) |4.2.1/4
While an attaché to a diplomatic envoy to the Kingdom of (+) Morocco, this artist painted the Orientalist work Women of Algiers.|Eugène Delacroix (or Ferdinand Victor Eugène Delacroix) |4.2.2/4
The toppling of Charles X [[the Tenth]] is represented by this artist in a painting depicting a bare -breasted women carrying the tricolour [[tree -koh-LOHR]] flag of France.|Eugène Delacroix (or Ferdinand Victor Eugène Delacroix) |4.2.3/4
Liberty (*) Leading the People was painted by, for ten points, which French Romantic artist?|Eugène Delacroix (or Ferdinand Victor Eugène Delacroix) |4.2.4/4
In the 2020 senate election in this U.S. state, a conspiracy theorist who claims to have invented e-mail, Shiva Ayyadurai, was defeated in the Republican primary.|Massachusetts |4.3.1/4
The kidnapping of Colin Bower's children and the police killing of DJ (+) Henry became issues in this state's Democratic primary, which determined who would face Republican nominee Kevin O'Connor.|Massachusetts |4.3.2/4
A congressman from a political dynasty in this state lost the prim ary to incumbent Ed (*) Markey.|Massachusetts |4.3.3/4
For ten points, name this state from which Markey continues to serve as senator alongside Elizabeth Warren.|Massachusetts |4.3.4/4
This non-Chinese figure trained at the Whampoa Military Academy and offered David Ben-Gurion and the Jewish people a homeland in his nation.|Ho Chi Minh (or Nguyễn Sinh Cung) |4.4.1/4
This politician used the pseudonym "Nguyen [[WHEN]] the (+) Patriot" while writing articles prior to the Versailles Peace Talks.|Ho Chi Minh (or Nguyễn Sinh Cung) |4.4.2/4
This man led the 1945 August General Uprising which successfully deposed the colonial French following the nine -year First (*) Indochina War.|Ho Chi Minh (or Nguyễn Sinh Cung) |4.4.3/4
The city of Saigon was renamed in honor of, f or ten points, which first president of communist Vietnam?|Ho Chi Minh (or Nguyễn Sinh Cung) |4.4.4/4
In this man’s final run for office, he defeated mayor Emory Folmar after narrowly winning the Democratic primary against Lieutenant Governor George McMillan.|George Wallace (accept George Corley Wallace Jr.) |4.5.1/4
During one of his four runs for president, this man survived an assassination attempt which left him paralyzed (+) below the waist.|George Wallace (accept George Corley Wallace Jr.) |4.5.2/4
This man briefly served as First Gentleman after his wife, Lurleen, became (*) Alabama’s first female governor.|George Wallace (accept George Corley Wallace Jr.) |4.5.3/4
For t en points, name this long -time Alabama politician who once declared “segregation now, segregation tomorrow, segregation forever”.|George Wallace (accept George Corley Wallace Jr.) |4.5.4/4
Soe Naing was the first of over a hundred journalists from this nation to be imprisoned in 2021, with many being placed in the Insein Prison first run by the State Law and Order (+) Restoration Council.|Myanmar (accept Republic of the Union of Myanmar; or Pyidaunzu Thanmăda Myăma Nainngandaw; accept Burma before mentioned) |4.6.1/3
2020 election results in this nation were annulled following a coup by the Tatmadaw [[taht -MAH-"tau"]] armed forces.|Myanmar (accept Republic of the Union of Myanmar; or Pyidaunzu Thanmăda Myăma Nainngandaw; accept Burma before mentioned) |4.6.2/3
That coup removed Aung (*) San Suu Kyi [[CHEE]] from power in, for ten points, which southeast Asian nation, once known as Burma?|Myanmar (accept Republic of the Union of Myanmar; or Pyidaunzu Thanmăda Myăma Nainngandaw; accept Burma before mentioned) |4.6.3/3
This man compared the extinction of civilization to that of a species in his 1910 Romanes lecture Biological Analogies in History.|Theodore Roosevelt Jr. (or Teddy [a]Roosevelt; prompt on "Roosevelt" or "T.R.") |4.7.1/4
A late 1880s winter killed much of this man's cattle, forcing him to abandon his ranching venture at Elkhorn.|Theodore Roosevelt Jr. (or Teddy [a]Roosevelt; prompt on "Roosevelt" or "T.R.") |4.7.2/4
With his son, (+) Kermit, this man headed a namesake expedition with the Smithsonian, collecting over 11,000 animal specimens and authoring African Game Trails .|Theodore Roosevelt Jr. (or Teddy [a]Roosevelt; prompt on "Roosevelt" or "T.R.") |4.7.3/4
(*) For ten points, name this U.S. president, whose saving of a cub led to the creation of his namesake stuffed bear.|Theodore Roosevelt Jr. (or Teddy [a]Roosevelt; prompt on "Roosevelt" or "T.R.") |4.7.4/4
Medieval historian Roger of Wendover claimed that this man offered to convert to Islam if Muhammad al-Nasir lent him military support.|King John (accept John Lackland) |4.8.1/4
This man's refusal to appoint sub-prior Reginald to the post of Archbishop of (+) Canterbury led to his temporary excommunication by Innocent III.|King John (accept John Lackland) |4.8.2/4
This king was temporarily deposed by the French King, Louis the Lion, after he captured half of England during the First (*) Barons' War.|King John (accept John Lackland) |4.8.3/4
For ten points, name this brother of Richard the Lionheart and signer of the Magna Carta.|King John (accept John Lackland) |4.8.4/4
